id,ticker,title,link,topic,published_est,market,begin_price,end_price,index_begin_price,index_end_price,daily_return,index_return,daily_alpha,actual_action,predicted_action,confidence
2,"ACIU","AC Immune Showcasing Precision Medicine Programs at AAIC 2023","https://www.globenewswire.com/news-release/2023/07/03/2698440/0/en/AC-Immune-Showcasing-Precision-Medicine-Programs-at-AAIC-2023.html","Clinical Study","2023-07-03 07:00:00","pre_market",3,3,443,443,-0,-0,-0,"short","short",NaN
3,"ACIU","AC Immune to Host Key Opinion Leader Webinar on Early Diagnosis and Prevention of Alzheimer’s Disease","https://www.globenewswire.com/news-release/2023/04/05/2641522/0/en/AC-Immune-to-Host-Key-Opinion-Leader-Webinar-on-Early-Diagnosis-and-Prevention-of-Alzheimer-s-Disease.html","Calendar of Events","2023-04-05 07:00:00","pre_market",2,2,409,408,-0,-0,-0,"short","short",NaN
4,"ACIU","AC Immune Clinical Data Published in Nature Communications Show Alpha-Synuclein PET Tracer ACI-12589 Has Potential as Neurodegenerative Disease Diagnostic","https://www.globenewswire.com/news-release/2023/10/27/2768271/0/en/AC-Immune-Clinical-Data-Published-in-Nature-Communications-Show-Alpha-Synuclein-PET-Tracer-ACI-12589-Has-Potential-as-Neurodegenerative-Disease-Diagnostic.html","Company Announcement","2023-10-27 07:00:00","pre_market",3,3,413,414,-0,0,-0,"short","short",NaN
5,"ACIU","AC Immune at AD/PD™ 2023 to Present New Clinical and Preclinical Data from its Precision Medicine Pipeline","https://www.globenewswire.com/news-release/2023/03/20/2630182/0/en/AC-Immune-at-AD-PD-2023-to-Present-New-Clinical-and-Preclinical-Data-from-its-Precision-Medicine-Pipeline.html","Calendar of Events","2023-03-20 08:00:00","pre_market",2,2,390,391,0,0,0,"long","long",NaN
6,"ACIU","AC Immune Awarded New Grants from MJFF and Target ALS Supporting Programs Targeting TDP-43","https://www.globenewswire.com/news-release/2023/02/07/2602787/0/en/AC-Immune-Awarded-New-Grants-from-MJFF-and-Target-ALS-Supporting-Programs-Targeting-TDP-43.html","Health","2023-02-07 07:00:00","pre_market",2,2,410,409,0,-0,0,"long","long",NaN
7,"ACIU","AC Immune SA Appoints New Chief Medical Officer","https://www.globenewswire.com/news-release/2023/07/26/2711171/0/en/AC-Immune-SA-Appoints-New-Chief-Medical-Officer.html","Management Changes","2023-07-26 07:00:00","pre_market",3,3,455,454,0,-0,0,"long","long",NaN
8,"ACIU","AC Immune’s ACI-24.060 Anti-Amyloid Beta Vaccine for Alzheimer’s Shows Positive Initial Interim Safety and Immunogenicity in Phase 1b/2 ABATE Trial","https://www.globenewswire.com/news-release/2023/01/26/2595885/0/en/AC-Immune-s-ACI-24-060-Anti-Amyloid-Beta-Vaccine-for-Alzheimer-s-Shows-Positive-Initial-Interim-Safety-and-Immunogenicity-in-Phase-1b-2-ABATE-Trial.html","Clinical Study","2023-01-26 07:00:00","pre_market",2,3,400,403,0,0,0,"long","long",NaN
9,"ACIU","AC Immune Reports First Quarter 2023 Financial Results and Provides a Corporate Update","https://www.globenewswire.com/news-release/2023/04/28/2657303/0/en/AC-Immune-Reports-First-Quarter-2023-Financial-Results-and-Provides-a-Corporate-Update.html","Interim information","2023-04-28 07:00:00","pre_market",2,2,412,411,0,-0,0,"long","long",NaN
10,"ACIU","AC Immune to Host KOL Webinar on Amyloid Plaque PET Imaging in Alzheimer’s Disease as a Surrogate of Clinical Efficacy on November 9, 2023","https://www.globenewswire.com/news-release/2023/11/02/2772091/0/en/AC-Immune-to-Host-KOL-Webinar-on-Amyloid-Plaque-PET-Imaging-in-Alzheimer-s-Disease-as-a-Surrogate-of-Clinical-Efficacy-on-November-9-2023.html","Clinical Study","2023-11-02 07:00:00","pre_market",3,3,423,427,0,0,-0,"short","long",NaN
11,"ACIU","AC Immune Reports Third Quarter 2023 Financial Results and Provides a Corporate Update","https://www.globenewswire.com/news-release/2023/11/03/2773089/0/en/AC-Immune-Reports-Third-Quarter-2023-Financial-Results-and-Provides-a-Corporate-Update.html","Earnings Releases and Operating Results","2023-11-03 07:00:00","pre_market",3,3,431,433,0,0,0,"long","long",NaN
12,"ACIU","AC Immune to Present at the SVB Securities Global Biopharma Conference","https://www.globenewswire.com/news-release/2023/02/02/2600439/0/en/AC-Immune-to-Present-at-the-SVB-Securities-Global-Biopharma-Conference.html","Calendar of Events","2023-02-02 08:15:00","pre_market",2,2,411,415,-0,0,-0,"short","short",NaN
15,"ACIU","AC Immune Reports Second Quarter 2023 Financial Results and Provides a Corporate Update","https://www.globenewswire.com/news-release/2023/08/04/2718852/0/en/AC-Immune-Reports-Second-Quarter-2023-Financial-Results-and-Provides-a-Corporate-Update.html","Clinical Study","2023-08-04 07:00:00","pre_market",3,3,449,451,0,0,0,"long","short",NaN
16,"ACIU","AC Immune to Present at the Jefferies 2023 CNS & Neuro Summit in October 2023","https://www.globenewswire.com/news-release/2023/10/05/2755226/0/en/AC-Immune-to-Present-at-the-Jefferies-2023-CNS-Neuro-Summit-in-October-2023.html","Calendar of Events","2023-10-05 07:00:00","pre_market",3,3,425,424,0,-0,0,"long","long",NaN
17,"ACIU","AC Immune’s Alzheimer’s Disease Vaccine-candidate ACI-35.030 Selected for Further Development","https://www.globenewswire.com/news-release/2022/11/30/2564787/0/en/AC-Immune-s-Alzheimer-s-Disease-Vaccine-candidate-ACI-35-030-Selected-for-Further-Development.html","Clinical Study","2022-11-30 07:00:00","pre_market",3,3,395,395,0,0,0,"long","long",NaN
18,"ACIU","AC Immune Receives FDA Fast Track Designation for Anti-Amyloid-beta Active Immunotherapy, ACI-24.060, to Treat Alzheimer’s Disease","https://www.globenewswire.com/news-release/2023/06/27/2695157/0/en/AC-Immune-Receives-FDA-Fast-Track-Designation-for-Anti-Amyloid-beta-Active-Immunotherapy-ACI-24-060-to-Treat-Alzheimer-s-Disease.html","Clinical Study","2023-06-27 07:00:00","pre_market",2,2,431,432,0,0,0,"long","long",NaN
29,"ADAG","Adagene Achieves $3 Million Milestone in Collaboration with Exelixis for Successful Nomination of Second SAFEbody® Novel Masked Antibody-Drug Conjugate","https://www.globenewswire.com/news-release/2023/05/04/2661611/0/en/Adagene-Achieves-3-Million-Milestone-in-Collaboration-with-Exelixis-for-Successful-Nomination-of-Second-SAFEbody-Novel-Masked-Antibody-Drug-Conjugate.html","Product / Services Announcement","2023-05-04 09:00:00","pre_market",1,1,408,407,0,-0,0,"long","long",NaN
21,"ACIU","AC Immune to Report Full Year 2022 Financial Results and Provide Corporate Update on March 16, 2023","https://www.globenewswire.com/news-release/2023/03/08/2622870/0/en/AC-Immune-to-Report-Full-Year-2022-Financial-Results-and-Provide-Corporate-Update-on-March-16-2023.html","Calendar of Events","2023-03-08 07:00:00","pre_market",2,2,398,398,-0,0,-0,"short","short",NaN
30,"ADAG","Adagene Presents Data Demonstrating the Best-in-Class Therapeutic Index for Masked Anti-CTLA-4 SAFEbody® ADG126 at SITC 2023","https://www.globenewswire.com/news-release/2023/11/03/2773331/0/en/Adagene-Presents-Data-Demonstrating-the-Best-in-Class-Therapeutic-Index-for-Masked-Anti-CTLA-4-SAFEbody-ADG126-at-SITC-2023.html","Product / Services Announcement","2023-11-03 12:00:00","market_open",1,1,433,435,0,0,0,"long","long",NaN
19,"ACIU","AC Immune Reports Full Year 2022 Financial Results and Provides Corporate Update","https://www.globenewswire.com/news-release/2023/03/16/2628465/0/en/AC-Immune-Reports-Full-Year-2022-Financial-Results-and-Provides-Corporate-Update.html","Earnings Releases and Operating Results","2023-03-16 07:00:00","pre_market",2,2,389,387,0,-0,0,"long","long",NaN
34,"ADAG","Adagene Announces Updates to its Board of Directors","https://www.globenewswire.com/news-release/2023/04/28/2657314/0/en/Adagene-Announces-Updates-to-its-Board-of-Directors.html","Directors and Officers","2023-04-28 07:00:00","pre_market",1,1,412,411,0,-0,0,"long","long",NaN
32,"ADAG","天演药业将在第38届SITC年会上以海报形式公布其精准掩蔽型抗CTLA-4安全抗体SAFEbody® ADG126剂量优化试验结果","https://www.globenewswire.com/news-release/2023/10/12/2759195/0/zh-hans/%E5%A4%A9%E6%BC%94%E8%8D%AF%E4%B8%9A%E5%B0%86%E5%9C%A8%E7%AC%AC38%E5%B1%8ASITC%E5%B9%B4%E4%BC%9A%E4%B8%8A%E4%BB%A5%E6%B5%B7%E6%8A%A5%E5%BD%A2%E5%BC%8F%E5%85%AC%E5%B8%83%E5%85%B6%E7%B2%BE%E5%87%86%E6%8E%A9%E8%94%BD%E5%9E%8B%E6%8A%97CTLA-4%E5%AE%89%E5%85%A8%E6%8A%97%E4%BD%93SAFEbody-ADG126%E5%89%82%E9%87%8F%E4%BC%98%E5%8C%96%E8%AF%95%E9%AA%8C%E7%BB%93%E6%9E%9C.html","Calendar of Events","2023-10-12 08:00:00","pre_market",1,2,436,437,0,0,0,"long","long",NaN
33,"ADAG","Adagene to Present at Investor and Scientific Conferences in September","https://www.globenewswire.com/news-release/2023/09/07/2739093/0/en/Adagene-to-Present-at-Investor-and-Scientific-Conferences-in-September.html","Conference Calls/ Webcasts","2023-09-07 06:00:00","pre_market",1,1,446,443,-0,-0,-0,"short","short",NaN
31,"ADAG","Adagene Announces Clinical Trial Collaboration to Evaluate Anti-CTLA-4 SAFEbody® ADG126 in Combination with Roche’s Standard-of-Care for First-Line Advanced Liver Cancer","https://www.globenewswire.com/news-release/2022/12/16/2575333/0/en/Adagene-Announces-Clinical-Trial-Collaboration-to-Evaluate-Anti-CTLA-4-SAFEbody-ADG126-in-Combination-with-Roche-s-Standard-of-Care-for-First-Line-Advanced-Liver-Cancer.html","Health","2022-12-16 06:30:00","pre_market",1,1,390,385,0,-0,0,"long","long",NaN
