exchange_pair,currency_pair
bitstamp/poloniex,XRP/BTC
bitstamp/poloniex,ADA/BTC
bitstamp/poloniex,LINK/BTC
bitstamp/poloniex,XRP/USDT
bitstamp/poloniex,ETH/USDC
bitstamp/poloniex,WBTC/BTC
bitstamp/poloniex,AAVE/BTC
bitstamp/poloniex,BTC/USDC
bitstamp/poloniex,XLM/BTC
bitstamp/poloniex,BCH/BTC
bitstamp/poloniex,ETH/BTC
bitstamp/poloniex,LTC/BTC
bitstamp/poloniex,ETH/USDT
bitstamp/poloniex,BTC/USDT
bitstamp/kraken,YFI/USD
bitstamp/kraken,XRP/BTC
bitstamp/kraken,CVX/USD
bitstamp/kraken,FLR/USD
bitstamp/kraken,ENS/USD
bitstamp/kraken,USDC/USD
bitstamp/kraken,USDC/USDT
bitstamp/kraken,FET/USD
bitstamp/kraken,ETH/USDT
bitstamp/kraken,ENJ/USD
bitstamp/kraken,XRP/GBP
bitstamp/kraken,IMX/USD
bitstamp/kraken,BCH/EUR
bitstamp/kraken,WBTC/BTC
bitstamp/kraken,CTSI/USD
bitstamp/kraken,FTM/EUR
bitstamp/kraken,XRP/USD
bitstamp/kraken,CVX/EUR
bitstamp/kraken,LRC/USD
bitstamp/kraken,AAVE/USD
bitstamp/kraken,KNC/EUR
bitstamp/kraken,MATIC/EUR
bitstamp/kraken,UNI/EUR
bitstamp/kraken,LDO/EUR
bitstamp/kraken,BAT/EUR
bitstamp/kraken,CTSI/EUR
bitstamp/kraken,SUSHI/USD
bitstamp/kraken,GRT/USD
bitstamp/kraken,SNX/EUR
bitstamp/kraken,XLM/GBP
bitstamp/kraken,BTC/USDC
bitstamp/kraken,ETH/EUR
bitstamp/kraken,UMA/EUR
bitstamp/kraken,GALA/EUR
bitstamp/kraken,APE/EUR
bitstamp/kraken,GBP/USD
bitstamp/kraken,USDC/EUR
bitstamp/kraken,ADA/BTC
bitstamp/kraken,CHZ/EUR
bitstamp/kraken,ANT/EUR
bitstamp/kraken,ENS/EUR
bitstamp/kraken,XLM/EUR
bitstamp/kraken,BCH/BTC
bitstamp/kraken,SUI/USD
bitstamp/kraken,PERP/EUR
bitstamp/kraken,XLM/USD
bitstamp/kraken,CRV/EUR
bitstamp/kraken,PYUSD/USD
bitstamp/kraken,SHIB/EUR
bitstamp/kraken,ALPHA/EUR
bitstamp/kraken,RAD/EUR
bitstamp/kraken,ALGO/USD
bitstamp/kraken,RNDR/EUR
bitstamp/kraken,EURT/EUR
bitstamp/kraken,GRT/EUR
bitstamp/kraken,SOL/EUR
bitstamp/kraken,MATIC/USD
bitstamp/kraken,BAT/USD
bitstamp/kraken,STORJ/EUR
bitstamp/kraken,ANT/USD
bitstamp/kraken,DAI/USD
bitstamp/kraken,ALGO/BTC
bitstamp/kraken,COMP/USD
bitstamp/kraken,BLUR/EUR
bitstamp/kraken,BTC/EUR
bitstamp/kraken,LINK/EUR
bitstamp/kraken,ADA/EUR
bitstamp/kraken,DOT/USD
bitstamp/kraken,ZRX/USD
bitstamp/kraken,AUDIO/EUR
bitstamp/kraken,MANA/EUR
bitstamp/kraken,AAVE/EUR
bitstamp/kraken,INJ/EUR
bitstamp/kraken,COMP/EUR
bitstamp/kraken,SNX/USD
bitstamp/kraken,MANA/USD
bitstamp/kraken,BLUR/USD
bitstamp/kraken,AVAX/USD
bitstamp/kraken,BAND/EUR
bitstamp/kraken,LTC/BTC
bitstamp/kraken,CRV/USD
bitstamp/kraken,PERP/USD
bitstamp/kraken,RNDR/USD
bitstamp/kraken,SAND/USD
bitstamp/kraken,ALGO/EUR
bitstamp/kraken,PYUSD/EUR
bitstamp/kraken,LTC/GBP
bitstamp/kraken,SUSHI/EUR
bitstamp/kraken,KNC/USD
bitstamp/kraken,DYDX/EUR
bitstamp/kraken,UMA/USD
bitstamp/kraken,PEPE/USD
