topic,accuracy,test_sample,total_sample
government_news,1.0,1.0,4
dividend_reports_and_estimates,1.0,1.0,2
annual_meetings__shareholder_rights,1.0,1.0,4
law__legal_issues,1.0,1.0,4
initial_public_offerings,1.0,2.0,10
corporate_action,1.0,1.0,3
exchange_members,1.0,1.0,3
partnerships,0.9,10.0,49
management_statements,0.7777777777777778,9.0,41
company_announcement,0.7647058823529411,17.0,85
major_shareholder_announcements,0.75,4.0,19
contests_awards,0.75,4.0,18
regulatory_information,0.6666666666666666,3.0,14
directors_and_officers,0.6666666666666666,21.0,105
product___services_announcement,0.625,48.0,239
trade_show,0.6,5.0,22
health,0.6,40.0,197
clinical_study,0.5555555555555556,72.0,357
earnings_releases_and_operating_results,0.5357142857142857,28.0,137
licensing_agreements,0.5,2.0,10
pre-release_comments,0.5,2.0,8
advisory,0.5,4.0,20
patents,0.5,6.0,29
research_analysis_and_reports,0.5,6.0,30
warrants_and_certificates,0.5,2.0,7
conference_calls__webcasts,0.4897959183673469,49.0,242
calendar_of_events,0.4838709677419355,62.0,308
european_regulatory_news,0.41935483870967744,31.0,154
financing_agreements,0.4,10.0,46
press_releases,0.3793103448275862,29.0,144
stock_market_news,0.3333333333333333,9.0,44
other_news,0.3333333333333333,3.0,12
mergers_and_acquisitions,0.25,4.0,16
changes_in_companys_own_shares,0.16666666666666666,6.0,30
management_changes,0.0,6.0,26
interim_information,0.0,1.0,4
business_contracts,0.0,2.0,7
changes_in_share_capital_and_votes,0.0,1.0,3
"environmental,_social,_and_governance_criteria",0.0,1.0,4
prospectus_announcement_of_prospectus,0.0,1.0,5
trading_information,0.0,1.0,2
annual_report,0.0,1.0,2
market_research_reports,0.0,0.0,1
joint_venture,0.0,0.0,1
feature_article,0.0,0.0,1
company_regulatory_filings,0.0,0.0,1
equity_market_information,0.0,0.0,1
exchange_announcement,0.0,0.0,1
