ticker	title	link	topic	published_est	market	hour_of_day
"PHIL.MI"	"Philogen provides update on pre-planned interim analysis of the Phase III FIBROSARC trial investigating Onfekafusp alfa (L19TNF) in patients with first-line advanced or metastatic Soft Tissue Sarcoma"	"https://www.globenewswire.com/news-release/2024/02/20/2831505/0/en/Philogen-provides-update-on-pre-planned-interim-analysis-of-the-Phase-III-FIBROSARC-trial-investigating-Onfekafusp-alfa-L19TNF-in-patients-with-first-line-advanced-or-metastatic-So.html"	"research_analysis_and_reports"	"2024-02-20 01:30:00"	"overnight"	1
"MDG1.DE"	"Medigene to Present at Upcoming Conferences"	"https://www.globenewswire.com/news-release/2024/02/19/2831266/0/en/Medigene-to-Present-at-Upcoming-Conferences.html"	"company_announcement"	"2024-02-19 08:00:00"	"pre_market"	8
"GMAB"	"Transactions in connection with share buy-back program"	"https://www.globenewswire.com/news-release/2024/02/19/2831158/0/en/Transactions-in-connection-with-share-buy-back-program.html"	"european_regulatory_news"	"2024-02-19 04:40:00"	"pre_market"	4
"IOVA"	"Iovance Biotherapeutics Reports Inducement Grants under NASDAQ Listing Rule 5635(c)(4)"	"https://www.globenewswire.com/news-release/2024/02/16/2830967/0/en/Iovance-Biotherapeutics-Reports-Inducement-Grants-under-NASDAQ-Listing-Rule-5635-c-4.html"	"Changes in company's own shares"	"2024-02-16 17:30:00"	"after_hours"	17
"IOVA"	"Iovance Biotherapeutics Reports Inducement Grants under NASDAQ Listing Rule 5635(c)(4)"	"https://www.globenewswire.com/news-release/2024/02/16/2830967/0/en/Iovance-Biotherapeutics-Reports-Inducement-Grants-under-NASDAQ-Listing-Rule-5635-c-4.html"	"changes_in_company's_own_shares"	"2024-02-16 17:30:00"	"after_hours"	17
"IOVA"	"Iovance Biotherapeutics to Host Conference Call and Webcast on Friday, February 16, 2024"	"https://www.globenewswire.com/news-release/2024/02/16/2830926/0/en/Iovance-Biotherapeutics-to-Host-Conference-Call-and-Webcast-on-Friday-February-16-2024.html"	"Conference Calls/ Webcasts"	"2024-02-16 15:38:00"	"market_open"	15
"IOVA"	"Iovance Biotherapeutics to Host Conference Call and Webcast on Friday, February 16, 2024"	"https://www.globenewswire.com/news-release/2024/02/16/2830926/0/en/Iovance-Biotherapeutics-to-Host-Conference-Call-and-Webcast-on-Friday-February-16-2024.html"	"conference_calls__webcasts"	"2024-02-16 15:38:00"	"market_open"	15
"IOVA"	"Iovance’s AMTAGVI™ (lifileucel) Receives U.S. FDA Accelerated Approval for Advanced Melanoma"	"https://www.globenewswire.com/news-release/2024/02/16/2830923/0/en/Iovance-s-AMTAGVI-lifileucel-Receives-U-S-FDA-Accelerated-Approval-for-Advanced-Melanoma.html"	"Product / Services Announcement"	"2024-02-16 15:19:00"	"market_open"	15
"IOVA"	"Iovance’s AMTAGVI™ (lifileucel) Receives U.S. FDA Accelerated Approval for Advanced Melanoma"	"https://www.globenewswire.com/news-release/2024/02/16/2830923/0/en/Iovance-s-AMTAGVI-lifileucel-Receives-U-S-FDA-Accelerated-Approval-for-Advanced-Melanoma.html"	"product___services_announcement"	"2024-02-16 15:19:00"	"market_open"	15
"ICCC"	"ImmuCell to Announce Unaudited Financial Results for the Quarter and Year Ended December 31, 2023"	"https://www.globenewswire.com/news-release/2024/02/16/2830814/0/en/ImmuCell-to-Announce-Unaudited-Financial-Results-for-the-Quarter-and-Year-Ended-December-31-2023.html"	"conference_calls__webcasts"	"2024-02-16 09:30:00"	"market_open"	9
"ICCC"	"ImmuCell to Announce Unaudited Financial Results for the Quarter and Year Ended December 31, 2023"	"https://www.globenewswire.com/news-release/2024/02/16/2830814/0/en/ImmuCell-to-Announce-Unaudited-Financial-Results-for-the-Quarter-and-Year-Ended-December-31-2023.html"	"Conference Calls/ Webcasts"	"2024-02-16 09:30:00"	"market_open"	9
"MDXH"	"Mdxhealth Announces Resignation of Board Member"	"https://www.globenewswire.com/news-release/2024/02/16/2830770/0/en/Mdxhealth-Announces-Resignation-of-Board-Member.html"	"directors_and_officers"	"2024-02-16 08:45:00"	"pre_market"	8
"MDXH"	"Mdxhealth Announces Resignation of Board Member"	"https://www.globenewswire.com/news-release/2024/02/16/2830770/0/en/Mdxhealth-Announces-Resignation-of-Board-Member.html"	"Directors and Officers"	"2024-02-16 08:45:00"	"pre_market"	8
"ARQT"	"Arcutis to Report Fourth Quarter and Full Year 2023 Financial Results"	"https://www.globenewswire.com/news-release/2024/02/16/2830722/0/en/Arcutis-to-Report-Fourth-Quarter-and-Full-Year-2023-Financial-Results.html"	"calendar_of_events"	"2024-02-16 08:00:00"	"pre_market"	8
"ARQT"	"Arcutis to Report Fourth Quarter and Full Year 2023 Financial Results"	"https://www.globenewswire.com/news-release/2024/02/16/2830722/0/en/Arcutis-to-Report-Fourth-Quarter-and-Full-Year-2023-Financial-Results.html"	"Calendar of Events"	"2024-02-16 08:00:00"	"pre_market"	8
"OCUP"	"Ocuphire Pharma Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4)"	"https://www.globenewswire.com/news-release/2024/02/15/2830386/0/en/Ocuphire-Pharma-Reports-Inducement-Grants-Under-Nasdaq-Listing-Rule-5635-c-4.html"	"Product / Services Announcement"	"2024-02-15 16:10:00"	"after_hours"	16
"OCUP"	"Ocuphire Pharma Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4)"	"https://www.globenewswire.com/news-release/2024/02/15/2830386/0/en/Ocuphire-Pharma-Reports-Inducement-Grants-Under-Nasdaq-Listing-Rule-5635-c-4.html"	"product___services_announcement"	"2024-02-15 16:10:00"	"after_hours"	16
"TTOO"	"T2 Biosystems Announces Preliminary Fourth Quarter and Full Year 2023 Financial Results"	"https://www.globenewswire.com/news-release/2024/02/15/2830381/32489/en/T2-Biosystems-Announces-Preliminary-Fourth-Quarter-and-Full-Year-2023-Financial-Results.html"	"Pre-Release Comments"	"2024-02-15 16:06:00"	"after_hours"	16
"TTOO"	"T2 Biosystems Announces Preliminary Fourth Quarter and Full Year 2023 Financial Results"	"https://www.globenewswire.com/news-release/2024/02/15/2830381/32489/en/T2-Biosystems-Announces-Preliminary-Fourth-Quarter-and-Full-Year-2023-Financial-Results.html"	"pre-release_comments"	"2024-02-15 16:06:00"	"after_hours"	16
"QGEN"	"QIAGEN earns ACT Label for new eco-friendlier QIAwave products and achieves first My Green Lab Platinum certification"	"https://www.globenewswire.com/news-release/2024/02/15/2830368/8690/en/QIAGEN-earns-ACT-Label-for-new-eco-friendlier-QIAwave-products-and-achieves-first-My-Green-Lab-Platinum-certification.html"	"company_announcement"	"2024-02-15 16:05:00"	"after_hours"	16
"PCVX"	"Vaxcyte to Report Fourth Quarter and Full Year 2023 Financial Results on February 27, 2024"	"https://www.globenewswire.com/news-release/2024/02/15/2830367/0/en/Vaxcyte-to-Report-Fourth-Quarter-and-Full-Year-2023-Financial-Results-on-February-27-2024.html"	"conference_calls__webcasts"	"2024-02-15 16:05:00"	"after_hours"	16
"PCVX"	"Vaxcyte to Report Fourth Quarter and Full Year 2023 Financial Results on February 27, 2024"	"https://www.globenewswire.com/news-release/2024/02/15/2830367/0/en/Vaxcyte-to-Report-Fourth-Quarter-and-Full-Year-2023-Financial-Results-on-February-27-2024.html"	"Conference Calls/ Webcasts"	"2024-02-15 16:05:00"	"after_hours"	16
"QGEN"	"QIAGEN erhält ACT-Label für neue, umweltfreundlichere QIAwave?Produkte und erste Platin-Zertifizierung von My Green Lab"	"https://www.globenewswire.com/news-release/2024/02/15/2830366/0/de/QIAGEN-erh%C3%A4lt-ACT-Label-f%C3%BCr-neue-umweltfreundlichere-QIAwave-Produkte-und-erste-Platin-Zertifizierung-von-My-Green-Lab.html"	"product___services_announcement"	"2024-02-15 16:05:00"	"after_hours"	16
"QGEN"	"QIAGEN erhält ACT-Label für neue, umweltfreundlichere QIAwave?Produkte und erste Platin-Zertifizierung von My Green Lab"	"https://www.globenewswire.com/news-release/2024/02/15/2830366/0/de/QIAGEN-erh%C3%A4lt-ACT-Label-f%C3%BCr-neue-umweltfreundlichere-QIAwave-Produkte-und-erste-Platin-Zertifizierung-von-My-Green-Lab.html"	"Product / Services Announcement"	"2024-02-15 16:05:00"	"after_hours"	16
