,id,ticker,title,link,topic,published_est,market,begin_price,end_price,index_begin_price,index_end_price,daily_return,index_return,daily_alpha,actual_action,predicted_action,confidence
0,2,ACIU,AC Immune Showcasing Precision Medicine Programs at AAIC 2023,https://www.globenewswire.com/news-release/2023/07/03/2698440/0/en/AC-Immune-Showcasing-Precision-Medicine-Programs-at-AAIC-2023.html,Clinical Study,2023-07-03 07:00:00,pre_market,2.9549999237,2.9400000572,443.2799987793,442.9200134277,-0.0050760971,-0.0008120947,-0.0042640023,short,short,
1,3,ACIU,AC Immune to Host Key Opinion Leader Webinar on Early Diagnosis and Prevention of Alzheimer’s Disease,https://www.globenewswire.com/news-release/2023/04/05/2641522/0/en/AC-Immune-to-Host-Key-Opinion-Leader-Webinar-on-Early-Diagnosis-and-Prevention-of-Alzheimer-s-Disease.html,Calendar of Events,2023-04-05 07:00:00,pre_market,2.2349998951,2.2000000477,408.6700134277,407.9100036621,-0.0156598877,-0.001859715,-0.0138001727,short,short,
2,4,ACIU,AC Immune Clinical Data Published in Nature Communications Show Alpha-Synuclein PET Tracer ACI-12589 Has Potential as Neurodegenerative Disease Diagnostic,https://www.globenewswire.com/news-release/2023/10/27/2768271/0/en/AC-Immune-Clinical-Data-Published-in-Nature-Communications-Show-Alpha-Synuclein-PET-Tracer-ACI-12589-Has-Potential-as-Neurodegenerative-Disease-Diagnostic.html,Company Announcement,2023-10-27 07:00:00,pre_market,2.9000000954,2.6900000572,412.549987793,414.1900024414,-0.0724138039,0.0039753113,-0.0763891152,short,short,
3,5,ACIU,AC Immune at AD/PD™ 2023 to Present New Clinical and Preclinical Data from its Precision Medicine Pipeline,https://www.globenewswire.com/news-release/2023/03/20/2630182/0/en/AC-Immune-at-AD-PD-2023-to-Present-New-Clinical-and-Preclinical-Data-from-its-Precision-Medicine-Pipeline.html,Calendar of Events,2023-03-20 08:00:00,pre_market,2.2200000286,2.2400000095,389.9899902344,390.799987793,0.0090090003,0.0020769701,0.0069320302,long,long,
4,6,ACIU,AC Immune Awarded New Grants from MJFF and Target ALS Supporting Programs Targeting TDP-43,https://www.globenewswire.com/news-release/2023/02/07/2602787/0/en/AC-Immune-Awarded-New-Grants-from-MJFF-and-Target-ALS-Supporting-Programs-Targeting-TDP-43.html,Health,2023-02-07 07:00:00,pre_market,2.3699998856,2.4000000954,409.8299865723,408.8699951172,0.012658317,-0.0023424139,0.0150007309,long,long,
5,7,ACIU,AC Immune SA Appoints New Chief Medical Officer,https://www.globenewswire.com/news-release/2023/07/26/2711171/0/en/AC-Immune-SA-Appoints-New-Chief-Medical-Officer.html,Management Changes,2023-07-26 07:00:00,pre_market,2.9300000668,2.9500000477,455.4400024414,454.4700012207,0.0068259319,-0.0021298112,0.0089557431,long,long,
6,8,ACIU,AC Immune’s ACI-24.060 Anti-Amyloid Beta Vaccine for Alzheimer’s Shows Positive Initial Interim Safety and Immunogenicity in Phase 1b/2 ABATE Trial,https://www.globenewswire.com/news-release/2023/01/26/2595885/0/en/AC-Immune-s-ACI-24-060-Anti-Amyloid-Beta-Vaccine-for-Alzheimer-s-Shows-Positive-Initial-Interim-Safety-and-Immunogenicity-in-Phase-1b-2-ABATE-Trial.html,Clinical Study,2023-01-26 07:00:00,pre_market,2.3399999142,2.5899999142,400.3500061035,403.1300048828,0.1068376108,0.0069439209,0.0998936898,long,long,
7,9,ACIU,AC Immune Reports First Quarter 2023 Financial Results and Provides a Corporate Update,https://www.globenewswire.com/news-release/2023/04/28/2657303/0/en/AC-Immune-Reports-First-Quarter-2023-Financial-Results-and-Provides-a-Corporate-Update.html,Interim information,2023-04-28 07:00:00,pre_market,1.8799999952,1.8799999952,412.4100036621,411.4899902344,0.0,-0.0022308223,0.0022308223,long,long,
8,10,ACIU,"AC Immune to Host KOL Webinar on Amyloid Plaque PET Imaging in Alzheimer’s Disease as a Surrogate of Clinical Efficacy on November 9, 2023",https://www.globenewswire.com/news-release/2023/11/02/2772091/0/en/AC-Immune-to-Host-KOL-Webinar-on-Amyloid-Plaque-PET-Imaging-in-Alzheimer-s-Disease-as-a-Surrogate-of-Clinical-Efficacy-on-November-9-2023.html,Clinical Study,2023-11-02 07:00:00,pre_market,2.9500000477,2.9600000381,422.6600036621,426.5799865723,0.0033898272,0.0092745537,-0.0058847265,short,long,
9,11,ACIU,AC Immune Reports Third Quarter 2023 Financial Results and Provides a Corporate Update,https://www.globenewswire.com/news-release/2023/11/03/2773089/0/en/AC-Immune-Reports-Third-Quarter-2023-Financial-Results-and-Provides-a-Corporate-Update.html,Earnings Releases and Operating Results,2023-11-03 07:00:00,pre_market,2.8299999237,2.9400000572,430.7600097656,433.1400146484,0.0388693062,0.0055251296,0.0333441766,long,long,
