,id,ticker,title,link,topic,published_est,market,begin_price,end_price,index_begin_price,index_end_price,daily_return,index_return,daily_alpha,actual_action,predicted_action,confidence
0,2,ACIU,AC Immune Showcasing Precision Medicine Programs at AAIC 2023,https://www.globenewswire.com/news-release/2023/07/03/2698440/0/en/AC-Immune-Showcasing-Precision-Medicine-Programs-at-AAIC-2023.html,Clinical Study,7/3/2023 7:00,pre_market,2.954999924,2.940000057,443.2799988,442.9200134,-0.005076097,-0.000812095,-0.004264002,short,short,
1,3,ACIU,AC Immune to Host Key Opinion Leader Webinar on Early Diagnosis and Prevention of Alzheimer’s Disease,https://www.globenewswire.com/news-release/2023/04/05/2641522/0/en/AC-Immune-to-Host-Key-Opinion-Leader-Webinar-on-Early-Diagnosis-and-Prevention-of-Alzheimer-s-Disease.html,Calendar of Events,4/5/2023 7:00,pre_market,2.234999895,2.200000048,408.6700134,407.9100037,-0.015659888,-0.001859715,-0.013800173,short,short,
2,4,ACIU,AC Immune Clinical Data Published in Nature Communications Show Alpha-Synuclein PET Tracer ACI-12589 Has Potential as Neurodegenerative Disease Diagnostic,https://www.globenewswire.com/news-release/2023/10/27/2768271/0/en/AC-Immune-Clinical-Data-Published-in-Nature-Communications-Show-Alpha-Synuclein-PET-Tracer-ACI-12589-Has-Potential-as-Neurodegenerative-Disease-Diagnostic.html,Company Announcement,10/27/2023 7:00,pre_market,2.900000095,2.690000057,412.5499878,414.1900024,-0.072413804,0.003975311,-0.076389115,short,short,
3,5,ACIU,AC Immune at AD/PD™ 2023 to Present New Clinical and Preclinical Data from its Precision Medicine Pipeline,https://www.globenewswire.com/news-release/2023/03/20/2630182/0/en/AC-Immune-at-AD-PD-2023-to-Present-New-Clinical-and-Preclinical-Data-from-its-Precision-Medicine-Pipeline.html,Calendar of Events,3/20/2023 8:00,pre_market,2.220000029,2.24000001,389.9899902,390.7999878,0.009009,0.00207697,0.00693203,long,long,
4,6,ACIU,AC Immune Awarded New Grants from MJFF and Target ALS Supporting Programs Targeting TDP-43,https://www.globenewswire.com/news-release/2023/02/07/2602787/0/en/AC-Immune-Awarded-New-Grants-from-MJFF-and-Target-ALS-Supporting-Programs-Targeting-TDP-43.html,Health,2/7/2023 7:00,pre_market,2.369999886,2.400000095,409.8299866,408.8699951,0.012658317,-0.002342414,0.015000731,long,long,
5,7,ACIU,AC Immune SA Appoints New Chief Medical Officer,https://www.globenewswire.com/news-release/2023/07/26/2711171/0/en/AC-Immune-SA-Appoints-New-Chief-Medical-Officer.html,Management Changes,7/26/2023 7:00,pre_market,2.930000067,2.950000048,455.4400024,454.4700012,0.006825932,-0.002129811,0.008955743,long,long,
6,8,ACIU,AC Immune’s ACI-24.060 Anti-Amyloid Beta Vaccine for Alzheimer’s Shows Positive Initial Interim Safety and Immunogenicity in Phase 1b/2 ABATE Trial,https://www.globenewswire.com/news-release/2023/01/26/2595885/0/en/AC-Immune-s-ACI-24-060-Anti-Amyloid-Beta-Vaccine-for-Alzheimer-s-Shows-Positive-Initial-Interim-Safety-and-Immunogenicity-in-Phase-1b-2-ABATE-Trial.html,Clinical Study,1/26/2023 7:00,pre_market,2.339999914,2.589999914,400.3500061,403.1300049,0.106837611,0.006943921,0.09989369,long,long,
7,9,ACIU,AC Immune Reports First Quarter 2023 Financial Results and Provides a Corporate Update,https://www.globenewswire.com/news-release/2023/04/28/2657303/0/en/AC-Immune-Reports-First-Quarter-2023-Financial-Results-and-Provides-a-Corporate-Update.html,Interim information,4/28/2023 7:00,pre_market,1.879999995,1.879999995,412.4100037,411.4899902,0,-0.002230822,0.002230822,long,long,
8,10,ACIU,"AC Immune to Host KOL Webinar on Amyloid Plaque PET Imaging in Alzheimer’s Disease as a Surrogate of Clinical Efficacy on November 9, 2023",https://www.globenewswire.com/news-release/2023/11/02/2772091/0/en/AC-Immune-to-Host-KOL-Webinar-on-Amyloid-Plaque-PET-Imaging-in-Alzheimer-s-Disease-as-a-Surrogate-of-Clinical-Efficacy-on-November-9-2023.html,Clinical Study,11/2/2023 7:00,pre_market,2.950000048,2.960000038,422.6600037,426.5799866,0.003389827,0.009274554,-0.005884727,short,long,
9,11,ACIU,AC Immune Reports Third Quarter 2023 Financial Results and Provides a Corporate Update,https://www.globenewswire.com/news-release/2023/11/03/2773089/0/en/AC-Immune-Reports-Third-Quarter-2023-Financial-Results-and-Provides-a-Corporate-Update.html,Earnings Releases and Operating Results,11/3/2023 7:00,pre_market,2.829999924,2.940000057,430.7600098,433.1400146,0.038869306,0.00552513,0.033344177,long,long,
