topic,accuracy,test_sample,total_sample
conference_calls__webcasts,0,0,242
product___services_announcement,0,0,239
directors_and_officers,0,0,105
calendar_of_events,0,0,308
clinical_study,0,0,357
partnerships,0,0,49
financing_agreements,0,0,46
european_regulatory_news,0,0,154
advisory,0,0,20
earnings_releases_and_operating_results,0,0,137
mergers_and_acquisitions,0,0,16
changes_in_companys_own_shares,0,0,30
health,0,0,197
licensing_agreements,0,0,10
company_announcement,0,0,85
press_releases,0,0,144
contests_awards,0,0,18
initial_public_offerings,0,0,10
patents,0,0,29
major_shareholder_announcements,0,0,19
warrants_and_certificates,0,0,7
regulatory_information,0,0,14
annual_meetings__shareholder_rights,0,0,4
management_statements,0,0,41
management_changes,0,0,26
stock_market_news,0,0,44
pre-release_comments,0,0,8
government_news,0,0,4
market_research_reports,0,0,1
corporate_action,0,0,3
interim_information,0,0,4
other_news,0,0,12
joint_venture,0,0,1
exchange_members,0,0,3
feature_article,0,0,1
trade_show,0,0,22
research_analysis_and_reports,0,0,30
business_contracts,0,0,7
company_regulatory_filings,0,0,1
law__legal_issues,0,0,4
changes_in_share_capital_and_votes,0,0,3
dividend_reports_and_estimates,0,0,2
"environmental,_social,_and_governance_criteria",0,0,4
prospectus_announcement_of_prospectus,0,0,5
trading_information,0,0,2
equity_market_information,0,0,1
annual_report,0,0,2
exchange_announcement,0,0,1
