topic,accuracy,test_sample,total_sample
dividend_reports_and_estimates,1.0,1.0,2
law__legal_issues,1.0,1.0,4
exchange_members,1.0,1.0,3
corporate_action,1.0,1.0,3
government_news,1.0,1.0,4
annual_meetings__shareholder_rights,1.0,1.0,4
initial_public_offerings,1.0,2.0,10
partnerships,0.9,10.0,49
management_statements,0.7777777777777778,9.0,41
contests_awards,0.75,4.0,18
major_shareholder_announcements,0.75,4.0,19
company_announcement,0.7058823529411765,17.0,85
regulatory_information,0.6666666666666666,3.0,14
product___services_announcement,0.6458333333333334,48.0,239
health,0.625,40.0,197
directors_and_officers,0.6190476190476191,21.0,105
conference_calls__webcasts,0.5510204081632653,49.0,242
clinical_study,0.5138888888888888,72.0,357
financing_agreements,0.5,10.0,46
licensing_agreements,0.5,2.0,10
warrants_and_certificates,0.5,2.0,7
research_analysis_and_reports,0.5,6.0,30
earnings_releases_and_operating_results,0.5,28.0,137
pre-release_comments,0.5,2.0,8
calendar_of_events,0.5,62.0,308
patents,0.5,6.0,29
european_regulatory_news,0.41935483870967744,31.0,154
trade_show,0.4,5.0,22
press_releases,0.3793103448275862,29.0,144
stock_market_news,0.3333333333333333,9.0,44
other_news,0.3333333333333333,3.0,12
advisory,0.25,4.0,20
mergers_and_acquisitions,0.25,4.0,16
changes_in_companys_own_shares,0.16666666666666666,6.0,30
trading_information,0.0,1.0,2
prospectus_announcement_of_prospectus,0.0,1.0,5
"environmental,_social,_and_governance_criteria",0.0,1.0,4
interim_information,0.0,1.0,4
changes_in_share_capital_and_votes,0.0,1.0,3
business_contracts,0.0,2.0,7
management_changes,0.0,6.0,26
annual_report,0.0,1.0,2
market_research_reports,0.0,0.0,1
joint_venture,0.0,0.0,1
feature_article,0.0,0.0,1
company_regulatory_filings,0.0,0.0,1
equity_market_information,0.0,0.0,1
exchange_announcement,0.0,0.0,1
